Name,Location,ID,GRID_ID,fuzz,Manual_GRID,,,,,,
Lille 2 University â€“ Health and Law,France,lille-2-university-health-law,-1,86,grid.16780.38,,,,,,
UniversitÃ© du QuÃ©bec Ã  MontrÃ©al,Canada,universite-du-quebec-a-montreal,-1,86,grid.38678.32,,,,,,
Blaise Pascal University,France,blaise-pascal-university,-1,86,grid.7907.9,,,,,,
University of Paris North â€“ Paris 13,France,university-paris-north-paris-13,-1,86,grid.11318.3a,,,,,,
Lille 1 University â€“ Science and Technology,France,lille-1-university-science-and-technology,grid.4461.7,90,grid.4461.7,,,,,,
Pohang University of Science and Technology (POSTECH),South Korea,pohang-university-science-and-technology-postech,grid.49100.3c,95,grid.49100.3c,,,,,,
Royal College of Surgeons in Ireland (RCSI),Ireland,royal-college-surgeons-ireland-rcsi,grid.4912.e,95,grid.4912.e,,,,,,
University of Missouri-Columbia,United States,university-missouri-columbia,grid.134936.a,95,grid.134936.a,,,,,,
University of Campinas,Brazil,university-campinas,grid.411087.b,95,grid.411087.b,,,,,,
University of Nice Sophia Antipolis,France,university-nice-sophia-antipolis,grid.10737.32,95,grid.10737.32,,,,,,
State University of New York Albany,United States,state-university-new-york-albany,grid.189747.4,95,grid.265850.c,,,,,,
Amrita Vishwa Vidyapeetham,India,amrita-vishwa-vidyapeetham,grid.411370.0,95,grid.411370.0,,,,,,
West University of Timi?oara,Romania,west-university-timioara,grid.14004.31,96,grid.14004.31,,,,,,
"Adam Mickiewicz University, PoznaÅ„",Poland,adam-mickiewicz-university-poznan,grid.5633.3,97,grid.5633.3,,,,,,
"The Imperial College of Science, Technology and Medicine",uk,The-Imperial-College-of-Science-Technology-and-Medicine,-1,86,grid.7445.2,,,,,,
Pierre and Marie  Curie University - Paris 6,france,Pierre-and-Marie--Curie-University---Paris-6,-1,86,grid.5805.8,,,,,,
UniversitÃ© libre de Bruxelles (ULB),belgium,Free-University-Brussels,grid.4989.c,95,grid.4989.c,,,,,,
Joseph Fourier University (Grenoble 1),france,Joseph-Fourier-University-(Grenoble-1),grid.9621.c,95,grid.9621.c,,,,,,
Vrije Universiteit Brussel (VUB),belgium,Free-University-of-Brussels,grid.8767.e,95,grid.8767.e,,,,,,
University of Auvergne,france,University-of-Auvergne,grid.494717.8,95,grid.7903.d,,,,,,
Universitas Muhammadiyah Surakarta,Indonesia,universitas-muhammadiyah-surakarta,-1,68,grid.444490.9,,,,,,
"Ecole normale supÃ©rieure, Paris",France,ecole-normale-superieure-paris,-1,86,grid.5607.4,,,,,,
UniversitÃ© Pierre et Marie Curie (UPMC),France,universite-pierre-et-marie-curie-upmc,-1,86,grid.5805.8,,,,,,
Pontificia Universidad CatÃ³lica de Chile (UC),Chile,pontificia-universidad-cat%C3%B3lica-de-chile-uc,-1,86,grid.7870.8,,,,,,
UniversitÃ© Paris-Sorbonne (Paris IV),France,universite-paris-sorbonne-paris-iv,-1,86,grid.46900.3b,,,,,,
UniversitÃ© Joseph Fourier - Grenoble 1,France,universite-joseph-fourier-grenoble-1,-1,86,grid.411819.4,,,,,,
"UniversitÃ© Paris-Dauphine, UniversitÃ© PSL",France,universite-paris-dauphine-universite-psl,-1,86,grid.11024.36,,,,,,
"UniversitÃ© Lille 1, Sciences et Technologies",France,universite-lille-1-sciences-et-technologies,-1,86,grid.4461.7,,,,,,
Vasyl` Stus Donetsk National University,Ukraine,vasyl-stus-donetsk-national-university,-1,86,grid.438846.5,,,,,,
Baku Engineering University,Azerbaijan,baku-engineering-university,-1,86,grid.37600.32,,,,,,
JSC  â€œ S.Seifullin Kazakh Agro Technical Universityâ€,Kazakhstan,jsc-sseifullin-kazakh-agro-technical-university,-1,86,grid.443527.3,,,,,,
