,WorldRank,NationalRank,Name,ARWU_university_ID,Country,TotalScore,Alumni,Award,HiCi,NS,PUB,PCP,item,GRID_ID,fuzz
0,1,1,Harvard University,Harvard-University,unitedstates,100,100,100,100,100,100,73,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
1,2,2,Stanford University,Stanford-University,unitedstates,73.7,42,78.7,86.1,69.6,70.3,65.7,http://www.wikidata.org/entity/Q41506,grid.168010.e,
2,3,3,"University of California, Berkeley",University-of-California-Berkeley,unitedstates,71.9,72.5,77.1,67.9,72.9,69.2,52.6,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
3,4,1,University of Cambridge,University-of-Cambridge,unitedkingdom,71.6,93.6,91.5,54,58.2,65.4,65.1,http://www.wikidata.org/entity/Q35794,grid.5335.0,
4,5,4,Massachusetts Institute of Technology (MIT),Massachusetts-Institute-of-Technology-(MIT),unitedstates,70,74.6,80.6,65.9,68.4,61.7,53.4,http://www.wikidata.org/entity/Q49108,grid.116068.8,
5,6,5,California Institute of Technology,California-Institute-of-Technology,unitedstates,66.4,55.5,69.1,58.4,67.6,50.3,100,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
6,7,6,Columbia University,Columbia-University,unitedstates,63.2,76,65.7,56.5,54.3,69.6,46.4,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
7,8,7,Princeton University,Princeton-University,unitedstates,59.5,62.3,80.4,59.3,42.9,46.5,58.9,http://www.wikidata.org/entity/Q21578,grid.16750.35,
8,9,8,University of Chicago,University-of-Chicago,unitedstates,58.4,70.8,80.2,50.8,42.8,54.1,41.3,http://www.wikidata.org/entity/Q131252,grid.170205.1,
9,10,2,University of Oxford,University-of-Oxford,unitedkingdom,56.4,60.3,57.9,46.3,52.3,65.4,44.7,http://www.wikidata.org/entity/Q34433,grid.4991.5,
10,11,9,Yale University,Yale-University,unitedstates,55.9,50.9,43.6,57.9,57.2,63.2,48.9,http://www.wikidata.org/entity/Q49112,grid.47100.32,
11,12,10,Cornell University,Cornell-University,unitedstates,54.3,43.6,51.3,54.5,51.4,65.1,39.9,http://www.wikidata.org/entity/Q49115,grid.5386.8,
12,13,11,"University of California, Los Angeles",University-of-California-Los-Angeles,unitedstates,52.6,25.6,42.8,57.4,49.1,75.9,35.5,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
13,14,12,"University of California, San Diego",University-of-California-San-Diego,unitedstates,50.4,16.6,34,59.3,55.5,64.6,46.6,http://www.wikidata.org/entity/Q622664,grid.266100.3,
14,15,13,University of Pennsylvania,University-of-Pennsylvania,unitedstates,49,33.3,34.4,56.9,40.3,70.8,38.7,http://www.wikidata.org/entity/Q49117,grid.25879.31,
15,16,14,University of Washington,University-of-Washington,unitedstates,48.2,27,31.8,52.4,49,74.1,27.4,http://www.wikidata.org/entity/Q219563,grid.34477.33,
16,17,15,University of Wisconsin - Madison,University-of-Wisconsin---Madison,unitedstates,48,40.3,35.5,52.9,43.1,67.2,28.6,http://www.wikidata.org/entity/Q838330,grid.14003.36,
17,18,16,"University of California, San Francisco",University-of-California-San-Francisco,unitedstates,46.8,0,36.8,54,53.7,59.8,46.7,http://www.wikidata.org/entity/Q1061104,grid.266102.1,
