,Rank,Name,score_list,Academic_reputation,Employer_reputation,Faculty_Student,International_Faculty,International_Students,Citations,href,location,QS_World_University_ID,item,GRID_ID,fuzz
0,1,Massachusetts Institute of Technology (MIT),100.0,100.0,100.0,100.0,99.9,100.0,96.6,/universities/massachusetts-institute-technology-mit,United States,massachusetts-institute-technology-mit,http://www.wikidata.org/entity/Q49108,grid.116068.8,
1,2,Stanford University,98.7,100.0,100.0,100.0,99.7,99.7,74.0,/universities/stanford-university,United States,stanford-university,http://www.wikidata.org/entity/Q41506,grid.168010.e,
2,3,Harvard University,98.3,100.0,100.0,98.5,100.0,100.0,70.4,/universities/harvard-university,United States,harvard-university,http://www.wikidata.org/entity/Q13371,grid.38142.3c,
3,4,University of Cambridge,97.2,100.0,100.0,100.0,86.5,97.6,97.8,/universities/university-cambridge,United Kingdom,university-cambridge,http://www.wikidata.org/entity/Q35794,grid.5335.0,
4,5,California Institute of Technology (Caltech),96.9,99.4,80.7,100.0,100.0,91.2,87.7,/universities/california-institute-technology-caltech,United States,california-institute-technology-caltech,http://www.wikidata.org/entity/Q161562,grid.20861.3d,
5,6,University of Oxford,96.8,100.0,100.0,100.0,83.6,98.7,98.2,/universities/university-oxford,United Kingdom,university-oxford,http://www.wikidata.org/entity/Q34433,grid.4991.5,
6,7,UCL (University College London),95.6,99.8,99.3,98.7,79.1,99.1,100.0,/universities/ucl-university-college-london,United Kingdom,ucl-university-college-london,http://www.wikidata.org/entity/Q193196,grid.83440.3b,
7,8,ETH Zurich - Swiss Federal Institute of Technology,94.2,99.6,98.9,73.3,98.3,100.0,98.8,/universities/eth-zurich-swiss-federal-institute-technology,Switzerland,eth-zurich-swiss-federal-institute-technology,http://www.wikidata.org/entity/Q11942,grid.5801.c,
8,9,Imperial College London,94.1,99.6,100.0,100.0,69.8,100.0,100.0,/universities/imperial-college-london,United Kingdom,imperial-college-london,http://www.wikidata.org/entity/Q189022,grid.7445.2,
9,10,University of Chicago,93.0,99.9,94.1,95.4,88.7,66.5,70.5,/universities/university-chicago,United States,university-chicago,http://www.wikidata.org/entity/Q131252,grid.170205.1,
10,11,Princeton University,92.8,100.0,97.9,81.8,100.0,65.3,68.7,/universities/princeton-university,United States,princeton-university,http://www.wikidata.org/entity/Q21578,grid.16750.35,
11,12,National University of Singapore (NUS),91.5,100.0,100.0,88.1,70.9,100.0,90.8,/universities/national-university-singapore-nus,Singapore,national-university-singapore-nus,http://www.wikidata.org/entity/Q738236,grid.4280.e,
12,13,"Nanyang Technological University, Singapore (NTU)",91.4,91.6,94.1,94.0,83.6,100.0,93.9,/universities/nanyang-technological-university-singapore-ntu,Singapore,nanyang-technological-university-singapore-ntu,http://www.wikidata.org/entity/Q721064,grid.59025.3b,
13,14,EPFL - Ecole Polytechnique Federale de Lausanne,91.1,82.1,93.5,93.9,99.1,100.0,100.0,/universities/epfl-ecole-polytechnique-federale-de-lausanne,Switzerland,epfl-ecole-polytechnique-federale-de-lausanne,http://www.wikidata.org/entity/Q262760,grid.5333.6,
14,15,Yale University,90.9,100.0,99.9,100.0,65.2,91.1,65.0,/universities/yale-university,United States,yale-university,http://www.wikidata.org/entity/Q49112,grid.47100.32,
15,16,Cornell University,90.1,99.6,94.0,68.9,95.9,91.6,66.0,/universities/cornell-university,United States,cornell-university,http://www.wikidata.org/entity/Q49115,grid.5386.8,
16,17,Johns Hopkins University,89.3,94.8,64.7,100.0,81.8,98.1,69.7,/universities/johns-hopkins-university,United States,johns-hopkins-university,http://www.wikidata.org/entity/Q193727,grid.21107.35,
17,18,University of Pennsylvania,89.0,97.4,96.5,100.0,72.9,51.1,64.2,/universities/university-pennsylvania,United States,university-pennsylvania,http://www.wikidata.org/entity/Q49117,grid.25879.31,
18,19,The University of Edinburgh,88.9,99.2,95.0,87.6,61.7,95.3,99.1,/universities/university-edinburgh,United Kingdom,university-edinburgh,http://www.wikidata.org/entity/Q160302,grid.4305.2,
19,20,Columbia University,88.6,99.9,99.2,100.0,60.5,37.8,93.7,/universities/columbia-university,United States,columbia-university,http://www.wikidata.org/entity/Q49088,grid.21729.3f,
20,21,King's College London,87.7,91.8,91.1,88.2,71.2,97.6,99.3,/universities/kings-college-london,United Kingdom,kings-college-london,http://www.wikidata.org/entity/Q245247,grid.13097.3c,
21,22,The Australian National University,87.3,99.1,89.6,56.5,86.9,100.0,96.3,/universities/australian-national-university,Australia,australian-national-university,http://www.wikidata.org/entity/Q127990,grid.1001.0,
22,23,University of Michigan,86.4,99.6,89.6,86.7,71.7,80.8,37.9,/universities/university-michigan,United States,university-michigan,http://www.wikidata.org/entity/Q230492,grid.214458.e,
23,=24,Tsinghua University,86.0,99.0,99.2,85.6,79.5,43.3,28.1,/universities/tsinghua-university,China,tsinghua-university,http://www.wikidata.org/entity/Q16955,grid.12527.33,
24,=24,Duke University,86.0,94.0,78.3,99.2,86.0,,56.7,/universities/duke-university,United States,duke-university,http://www.wikidata.org/entity/Q168751,grid.26009.3d,
25,26,Northwestern University,85.7,90.2,76.7,94.3,94.4,33.4,51.7,/universities/northwestern-university,United States,northwestern-university,http://www.wikidata.org/entity/Q309350,grid.16753.36,
26,27,The University of Hong Kong,85.4,98.9,93.8,84.0,47.3,100.0,99.3,/universities/university-hong-kong,Hong Kong,university-hong-kong,http://www.wikidata.org/entity/Q15568,grid.194645.b,
27,28,"University of California, Berkeley (UCB)",85.2,100.0,99.9,31.4,99.8,98.1,79.2,/universities/university-california-berkeley-ucb,United States,university-california-berkeley-ucb,http://www.wikidata.org/entity/Q168756,grid.47840.3f,
28,29,The University of Manchester,84.8,97.9,99.7,76.9,53.5,90.1,98.6,/universities/university-manchester,United Kingdom,university-manchester,http://www.wikidata.org/entity/Q230899,grid.5379.8,
29,30,McGill University,84.1,97.3,93.7,68.8,63.1,90.9,95.2,/universities/mcgill-university,Canada,mcgill-university,http://www.wikidata.org/entity/Q201492,grid.14709.3b,
30,31,"University of California, Los Angeles (UCLA)",84.0,100.0,99.6,61.6,87.6,34.1,50.7,/universities/university-california-los-angeles-ucla,United States,university-california-los-angeles-ucla,http://www.wikidata.org/entity/Q174710,grid.19006.3e,
31,32,University of Toronto,83.8,99.8,92.8,74.5,50.0,97.2,93.1,/universities/university-toronto,Canada,university-toronto,http://www.wikidata.org/entity/Q180865,grid.17063.33,
32,33,"Ecole normale supérieure, Paris",82.9,82.1,71.8,76.6,100.0,84.5,65.1,/universities/ecole-normale-superieure-paris,France,ecole-normale-superieure-paris,,grid.5607.4,103.0
33,34,The University of Tokyo,82.6,100.0,99.6,92.2,64.4,,,/universities/university-tokyo,Japan,university-tokyo,http://www.wikidata.org/entity/Q7842,grid.26999.3d,
34,35,Seoul National University,82.1,98.5,96.1,82.1,72.9,26.0,,/universities/seoul-national-university,South Korea,seoul-national-university,http://www.wikidata.org/entity/Q39913,grid.31501.36,
35,36,The Hong Kong University of Science and Technology,81.8,91.1,86.0,45.7,87.5,100.0,98.7,/universities/hong-kong-university-science-technology,Hong Kong,hong-kong-university-science-technology,http://www.wikidata.org/entity/Q1333303,grid.24515.37,
36,=37,Kyoto University,81.7,99.7,92.6,95.3,60.3,,,/universities/kyoto-university,Japan,kyoto-university,http://www.wikidata.org/entity/Q336264,grid.258799.8,
37,=37,London School of Economics and Political Science (LSE),81.7,88.8,100.0,57.1,72.3,100.0,100.0,/universities/london-school-economics-political-science-lse,United Kingdom,london-school-economics-political-science-lse,http://www.wikidata.org/entity/Q174570,grid.13063.37,
38,39,Peking University,81.3,99.8,99.8,66.4,64.8,53.6,49.6,/universities/peking-university,China,peking-university,http://www.wikidata.org/entity/Q16952,grid.11135.37,
39,40,"University of California, San Diego (UCSD)",80.6,95.9,62.8,64.9,92.1,52.9,39.1,/universities/university-california-san-diego-ucsd,United States,university-california-san-diego-ucsd,http://www.wikidata.org/entity/Q622664,grid.266100.3,
40,41,University of Bristol,79.6,85.5,94.8,73.8,62.7,88.8,82.4,/universities/university-bristol,United Kingdom,university-bristol,http://www.wikidata.org/entity/Q459506,grid.5337.2,
41,42,The University of Melbourne,79.5,99.7,99.2,27.5,75.1,82.6,99.3,/universities/university-melbourne,Australia,university-melbourne,http://www.wikidata.org/entity/Q319078,grid.1008.9,
42,43,Fudan University,79.4,90.8,95.3,65.6,73.9,66.7,46.5,/universities/fudan-university,China,fudan-university,http://www.wikidata.org/entity/Q495015,grid.8547.e,
43,44,The Chinese University of Hong Kong (CUHK),78.1,92.4,82.0,65.9,53.4,99.5,79.9,/universities/chinese-university-hong-kong-cuhk,Hong Kong,chinese-university-hong-kong-cuhk,http://www.wikidata.org/entity/Q15570,grid.10784.3a,
44,45,University of British Columbia,78.0,99.1,95.5,38.1,66.8,87.2,68.3,/universities/university-british-columbia,Canada,university-british-columbia,http://www.wikidata.org/entity/Q391028,grid.17091.3e,
45,=46,The University of Sydney,77.9,99.1,98.1,25.7,67.1,99.8,94.9,/universities/university-sydney,Australia,university-sydney,http://www.wikidata.org/entity/Q487556,grid.1013.3,
46,=46,New York University (NYU),77.9,97.3,96.2,95.0,28.3,,82.4,/universities/new-york-university-nyu,United States,new-york-university-nyu,http://www.wikidata.org/entity/Q49210,grid.137628.9,
47,=46,KAIST - Korea Advanced Institute of Science & Technology,77.9,85.5,83.0,69.2,99.9,23.5,,/universities/kaist-korea-advanced-institute-science-technology,South Korea,kaist-korea-advanced-institute-science-technology,http://www.wikidata.org/entity/Q39949,grid.37172.30,
48,=49,The University of New South Wales (UNSW Sydney),77.8,95.3,98.7,,77.1,100.0,95.2,/universities/university-new-south-wales-unsw-sydney,Australia,university-new-south-wales-unsw-sydney,http://www.wikidata.org/entity/Q734764,grid.1005.4,
49,=49,Brown University,77.8,73.5,68.3,78.2,95.5,69.0,66.7,/universities/brown-university,United States,brown-university,http://www.wikidata.org/entity/Q49114,grid.40263.33,
50,=51,The University of Queensland,77.6,93.4,82.7,33.1,79.9,100.0,84.6,/universities/university-queensland,Australia,university-queensland,http://www.wikidata.org/entity/Q866012,grid.1003.2,
51,=51,The University of Warwick,77.6,83.9,98.9,62.9,58.2,96.0,99.0,/universities/university-warwick,United Kingdom,university-warwick,http://www.wikidata.org/entity/Q865528,grid.7372.1,
52,=53,University of Wisconsin-Madison,75.7,94.5,55.5,84.2,56.4,52.7,33.1,/universities/university-wisconsin-madison,United States,university-wisconsin-madison,http://www.wikidata.org/entity/Q838330,grid.14003.36,
53,=53,Ecole Polytechnique,75.7,62.7,99.6,99.4,56.0,96.9,90.9,/universities/ecole-polytechnique,France,ecole-polytechnique,http://www.wikidata.org/entity/Q273626,grid.10877.39,
54,55,City University of Hong Kong,75.4,64.8,43.9,83.0,91.4,100.0,98.4,/universities/city-university-hong-kong,Hong Kong,city-university-hong-kong,http://www.wikidata.org/entity/Q787360,grid.35030.35,
55,56,Tokyo Institute of Technology,74.9,82.7,77.4,90.4,67.5,25.3,26.3,/universities/tokyo-institute-technology,Japan,tokyo-institute-technology,http://www.wikidata.org/entity/Q587326,grid.32197.3e,
56,57,University of Amsterdam,74.3,91.4,77.5,42.8,80.2,72.4,35.3,/universities/university-amsterdam,Netherlands,university-amsterdam,http://www.wikidata.org/entity/Q214341,grid.7177.6,
57,58,Carnegie Mellon University,74.2,83.8,81.4,35.1,94.1,32.2,99.8,/universities/carnegie-mellon-university,United States,carnegie-mellon-university,http://www.wikidata.org/entity/Q190080,grid.147455.6,
58,59,University of Washington,73.9,91.8,52.8,45.7,92.0,40.6,47.5,/universities/university-washington,United States,university-washington,http://www.wikidata.org/entity/Q219563,grid.34477.33,
59,60,Technical University of Munich,72.4,85.0,97.6,86.4,28.9,53.7,57.0,/universities/technical-university-munich,Germany,technical-university-munich,http://www.wikidata.org/entity/Q157808,grid.6936.a,
60,61,Shanghai Jiao Tong University,72.2,87.1,95.7,37.3,80.1,71.0,,/universities/shanghai-jiao-tong-university,China,shanghai-jiao-tong-university,http://www.wikidata.org/entity/Q525169,grid.16821.3c,
61,62,Delft University of Technology,72.1,75.6,86.9,28.3,94.2,96.5,74.8,/universities/delft-university-technology,Netherlands,delft-university-technology,http://www.wikidata.org/entity/Q752663,grid.5292.c,
62,=63,Osaka University,71.7,88.6,68.2,83.1,57.0,,,/universities/osaka-university,Japan,osaka-university,http://www.wikidata.org/entity/Q651233,grid.136593.b,
63,=63,University of Glasgow,71.7,80.0,63.0,61.6,57.6,91.2,96.9,/universities/university-glasgow,United Kingdom,university-glasgow,http://www.wikidata.org/entity/Q192775,grid.8756.c,
64,65,Monash University,71.6,91.8,93.1,,64.2,100.0,96.4,/universities/monash-university,Australia,monash-university,http://www.wikidata.org/entity/Q598841,grid.1002.3,
65,66,University of Illinois at Urbana-Champaign,71.4,95.1,62.2,,93.8,35.3,71.2,/universities/university-illinois-urbana-champaign,United States,university-illinois-urbana-champaign,http://www.wikidata.org/entity/Q457281,grid.35403.31,
66,67,University of Texas at Austin,70.7,97.5,82.9,,96.1,,22.6,/universities/university-texas-austin,United States,university-texas-austin,http://www.wikidata.org/entity/Q49213,grid.89336.37,
67,=68,Ludwig-Maximilians-Universität München,70.2,96.1,83.5,43.6,49.3,58.6,39.0,/universities/ludwig-maximilians-universitat-munchen,Germany,ludwig-maximilians-universitat-munchen,http://www.wikidata.org/entity/Q55044,grid.5252.0,
68,=68,National Taiwan University (NTU),70.2,95.7,68.9,36.0,80.7,,,/universities/national-taiwan-university-ntu,Taiwan,national-taiwan-university-ntu,http://www.wikidata.org/entity/Q32746,grid.19188.39,
69,=68,University of Copenhagen,70.2,81.9,64.8,100.0,25.0,86.0,31.3,/universities/university-copenhagen,Denmark,university-copenhagen,http://www.wikidata.org/entity/Q186285,grid.5254.6,
70,71,Georgia Institute of Technology,69.8,76.1,78.0,48.8,86.0,,87.5,/universities/georgia-institute-technology,United States,georgia-institute-technology,http://www.wikidata.org/entity/Q864855,grid.213917.f,
71,72,Ruprecht-Karls-Universität Heidelberg,69.7,90.1,70.5,69.7,36.4,48.4,59.5,/universities/ruprecht-karls-universitat-heidelberg,Germany,ruprecht-karls-universitat-heidelberg,http://www.wikidata.org/entity/Q151510,grid.7700.0,
72,73,Lund University,69.1,82.0,78.8,49.3,51.7,89.1,73.3,/universities/lund-university,Sweden,lund-university,http://www.wikidata.org/entity/Q218506,grid.4514.4,
73,74,Durham University,68.8,64.9,95.7,30.7,89.5,94.0,87.6,/universities/durham-university,United Kingdom,durham-university,http://www.wikidata.org/entity/Q458393,grid.8250.f,
74,=75,Tohoku University,68.7,78.7,57.5,97.9,52.3,,,/universities/tohoku-university,Japan,tohoku-university,http://www.wikidata.org/entity/Q1062129,grid.69566.3a,
75,=75,University of Nottingham,68.7,71.4,91.3,59.0,50.7,90.3,87.9,/universities/university-nottingham,United Kingdom,university-nottingham,http://www.wikidata.org/entity/Q472316,grid.4563.4,
76,77,University of St Andrews,68.2,54.3,58.4,73.0,79.2,98.2,99.9,/universities/university-st-andrews,United Kingdom,university-st-andrews,http://www.wikidata.org/entity/Q216273,grid.11914.3c,
77,78,"University of North Carolina, Chapel Hill",68.1,76.9,44.8,77.1,74.7,34.2,,/universities/university-north-carolina-chapel-hill,United States,university-north-carolina-chapel-hill,http://www.wikidata.org/entity/Q192334,grid.10698.36,
78,79,KU Leuven,67.9,87.4,71.6,,89.4,83.7,41.3,/universities/ku-leuven,Belgium,ku-leuven,http://www.wikidata.org/entity/Q833670,grid.5596.f,
79,80,University of Zurich,67.8,68.6,69.3,95.8,29.9,100.0,62.2,/universities/university-zurich,Switzerland,university-zurich,http://www.wikidata.org/entity/Q206702,grid.7400.3,
80,81,The University of Auckland,67.3,90.1,85.8,,50.0,86.5,89.5,/universities/university-auckland,New Zealand,university-auckland,http://www.wikidata.org/entity/Q492467,grid.9654.e,
81,82,University of Birmingham,67.2,73.9,88.7,49.3,50.1,90.3,84.3,/universities/university-birmingham,United Kingdom,university-birmingham,http://www.wikidata.org/entity/Q223429,grid.6572.6,
82,83,Pohang University of Science And Technology (POSTECH),67.0,47.0,57.3,99.5,100.0,44.5,,/universities/pohang-university-science-technology-postech,South Korea,pohang-university-science-technology-postech,http://www.wikidata.org/entity/Q40018,grid.49100.3c,
83,84,The University of Sheffield,66.9,70.3,66.2,62.7,52.0,84.8,97.1,/universities/university-sheffield,United Kingdom,university-sheffield,http://www.wikidata.org/entity/Q823917,grid.11835.3e,
84,=85,Universidad de Buenos Aires (UBA),65.8,92.8,98.9,65.2,,46.4,58.4,/universities/universidad-de-buenos-aires-uba,Argentina,universidad-de-buenos-aires-uba,http://www.wikidata.org/entity/Q194223,grid.7345.5,
85,=85,"University of California, Davis",65.8,80.6,49.9,25.6,88.7,65.5,47.6,/universities/university-california-davis,United States,university-california-davis,http://www.wikidata.org/entity/Q129421,grid.27860.3b,
86,87,University of Southampton,65.6,63.3,48.2,72.8,56.2,93.3,96.0,/universities/university-southampton,United Kingdom,university-southampton,http://www.wikidata.org/entity/Q76473,grid.5491.9,
87,88,The Ohio State University,65.4,75.5,52.0,77.2,40.1,81.3,48.1,/universities/ohio-state-university,United States,ohio-state-university,http://www.wikidata.org/entity/Q309331,grid.261331.4,
88,89,Boston University,65.2,71.3,83.9,56.5,63.1,,77.7,/universities/boston-university,United States,boston-university,http://www.wikidata.org/entity/Q49110,grid.189504.1,
89,90,Rice University,65.0,43.0,,85.4,98.0,89.2,88.8,/universities/rice-university,United States,rice-university,http://www.wikidata.org/entity/Q842909,grid.21940.3e,
90,91,University of Helsinki,64.7,75.5,57.2,93.7,31.2,65.0,,/universities/university-helsinki,Finland,university-helsinki,http://www.wikidata.org/entity/Q28695,grid.7737.4,
91,92,Purdue University,64.5,74.5,70.8,30.2,63.6,96.1,77.4,/universities/purdue-university,United States,purdue-university,http://www.wikidata.org/entity/Q217741,grid.169077.e,
92,93,University of Leeds,64.2,72.0,81.8,49.3,47.3,77.9,77.4,/universities/university-leeds,United Kingdom,university-leeds,http://www.wikidata.org/entity/Q503424,grid.9909.9,
93,94,University of Alberta,64.0,70.6,61.9,53.5,49.8,92.6,83.5,/universities/university-alberta,Canada,university-alberta,http://www.wikidata.org/entity/Q640694,grid.17089.37,
94,=95,Pennsylvania State University,63.6,81.3,72.1,,81.6,,44.1,/universities/pennsylvania-state-university,United States,pennsylvania-state-university,http://www.wikidata.org/entity/Q739627,grid.29857.31,
95,=95,University of Geneva,63.6,57.8,31.4,53.7,81.9,100.0,99.5,/universities/university-geneva,Switzerland,university-geneva,http://www.wikidata.org/entity/Q503473,grid.8591.5,
96,97,KTH Royal Institute of Technology,63.1,52.2,88.1,62.0,71.3,90.6,42.9,/universities/kth-royal-institute-technology,Sweden,kth-royal-institute-technology,http://www.wikidata.org/entity/Q854280,grid.5037.1,
97,=98,Uppsala University,62.8,77.6,53.1,48.5,59.5,24.6,71.6,/universities/uppsala-university,Sweden,uppsala-university,http://www.wikidata.org/entity/Q185246,grid.8993.b,
98,=98,Korea University,62.8,70.8,82.6,82.9,34.9,18.8,35.1,/universities/korea-university,South Korea,korea-university,http://www.wikidata.org/entity/Q39997,grid.222754.4,
99,=98,"Trinity College Dublin, The University of Dublin",62.8,68.2,57.8,39.6,62.4,98.0,85.9,/universities/trinity-college-dublin-university-dublin,Ireland,trinity-college-dublin-university-dublin,http://www.wikidata.org/entity/Q258464,grid.8217.c,
100,=98,"KIT, Karlsruhe Institute of Technology",62.8,57.4,94.8,66.0,58.7,58.4,49.6,/universities/kit-karlsruhe-institute-technology,Germany,kit-karlsruhe-institute-technology,http://www.wikidata.org/entity/Q309988,grid.7892.4,
101,=102,Leiden University,62.7,78.8,43.9,38.7,69.9,71.0,30.6,/universities/leiden-university,Netherlands,leiden-university,http://www.wikidata.org/entity/Q156598,grid.5132.5,
102,=102,The University of Western Australia,62.7,71.8,55.2,30.2,73.7,99.5,51.9,/universities/university-western-australia,Australia,university-western-australia,http://www.wikidata.org/entity/Q1517021,grid.1012.2,
